# Lexia 3 full USB dump (control+bulk+interrupt, включая пустые)
# ts,type,xfer,dir,ep,bus,dev,status,length,caplen,setup,data
1786904294.818264,S,CTRL,IN,0,1,1,4294967181,4,0,a300000002000400,
1786904294.818283,C,CTRL,IN,0,1,1,0,4,4,,03011000
1786904294.818292,S,CTRL,OUT,0,1,1,4294967181,0,0,2301140002000000,
1786904294.818301,C,CTRL,OUT,0,1,1,0,0,0,,
1786904294.888256,S,CTRL,IN,0,1,16,4294967181,18,0,8006000100001200,
1786904294.891544,C,CTRL,IN,0,1,16,0,18,18,,12010001ffffff083a1008f0000100000001
1786904294.891622,S,CTRL,IN,0,1,16,4294967181,32,0,8006000200002000,
1786904294.895540,C,CTRL,IN,0,1,16,0,32,32,,09022000010100005a0904000002ffff0000070585024000ff070506024000ff
1786904294.895657,S,CTRL,OUT,0,1,16,4294967181,0,0,0009010000000000,
1786904294.897537,C,CTRL,OUT,0,1,16,0,0,0,,
1786904294.913425,S,CTRL,IN,0,1,16,4294967181,18,0,8006000100001200,
1786904294.916545,C,CTRL,IN,0,1,16,0,18,18,,12010001ffffff083a1008f0000100000001
1786904294.917667,S,CTRL,IN,0,1,16,4294967181,255,0,800600020000ff00,
1786904294.920542,C,CTRL,IN,0,1,16,0,32,32,,09022000010100005a0904000002ffff0000070585024000ff070506024000ff
1786904297.122687,S,CTRL,IN,0,1,16,4294967181,18,0,8006000100001200,
1786904297.125587,C,CTRL,IN,0,1,16,0,18,18,,12010001ffffff083a1008f0000100000001
1786904297.125789,S,CTRL,IN,0,1,16,4294967181,9,0,8006000200000900,
1786904297.129575,C,CTRL,IN,0,1,16,0,9,9,,09022000010100005a
1786904297.129702,S,CTRL,IN,0,1,16,4294967181,32,0,8006000200002000,
1786904297.133583,C,CTRL,IN,0,1,16,0,32,32,,09022000010100005a0904000002ffff0000070585024000ff070506024000ff
1786904297.133838,S,CTRL,IN,0,1,16,4294967181,2,0,8000000000000200,
1786904297.136562,C,CTRL,IN,0,1,16,0,2,2,,0000
1786904297.136950,S,CTRL,OUT,0,1,16,4294967181,0,0,0009010000000000,
1786904297.138555,C,CTRL,OUT,0,1,16,0,0,0,,
1786904355.669588,S,BULK,OUT,6,1,16,4294967181,27,27,,400917c000090200aa00000000000000000000000000000016060e
1786904355.669646,C,BULK,OUT,6,1,16,0,27,0,,
1786904355.669816,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.670802,C,BULK,IN,5,1,16,0,3,3,,064009
1786904355.670959,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904355.671014,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.671145,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.671484,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904355.671633,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904355.671661,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.671788,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.672503,C,BULK,IN,5,1,16,0,31,31,,44091bc000090200aa00000000000009060001aa0000000030313131313341
1786904355.672644,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904355.672668,C,BULK,OUT,6,1,16,0,3,0,,
1786904355.674361,S,BULK,OUT,6,1,16,4294967181,27,27,,400917c000090200aa00000000000000000000000000000016060e
1786904355.674401,C,BULK,OUT,6,1,16,0,27,0,,
1786904355.674527,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.675568,C,BULK,IN,5,1,16,0,3,3,,064009
1786904355.675758,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904355.675780,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.675898,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.676246,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904355.676352,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904355.676374,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.676459,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.677226,C,BULK,IN,5,1,16,0,31,31,,44091bc000090200aa00000000000009060001aa0000000030313131313341
1786904355.677328,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904355.677349,C,BULK,OUT,6,1,16,0,3,0,,
1786904355.709198,S,BULK,OUT,6,1,16,4294967181,25,25,,400915c000070000aa00000000000000000000000000000030
1786904355.709247,C,BULK,OUT,6,1,16,0,25,0,,
1786904355.709385,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.710196,C,BULK,IN,5,1,16,0,3,3,,064009
1786904355.710324,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904355.710347,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.710448,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.710812,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904355.710925,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904355.710947,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.711037,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.711713,C,BULK,IN,5,1,16,0,25,25,,440915c000070000aa0000000000000700000caa000000006f
1786904355.711818,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
