MP_AFFICHAGE_ETAT_MENU_PARAMETRAGE_CLIENT||79|1|1|1|2026-08-19 19:00:23.492227+00
MP_AFFICHAGE_MENU_ACCUEIL_CONDUCTEUR||79|1|1|1|2026-08-19 19:00:23.492227+00
MP_AFFICHAGE_MENU_PARAMETRAGE_CLIENT||79|1|1|1|2026-08-19 19:00:23.492227+00
MP_AFFICHAGE_MENU_PERSONNALISATION_UNITEE_ET_LANGUE||79|1|1|1|2026-08-19 19:00:23.492227+00
MP_ALERTE_PRESSION_HUILE_FAIBLE||79|1|2|2|2026-08-19 19:00:23.492227+00
MP_AM8_BSI_SLMAINT200_000|km|29|1|30000|30000|2026-08-16 20:16:16.410466+00
MP_ANGLE_VOLANT|°|79|1|0|0|2026-08-19 19:00:23.492227+00
MP_ANNEE_AFFICHEE|ms|79|1|2026|2026|2026-08-19 19:00:23.492227+00
MP_APPUI_BOUTON_SECURITE_ENFANT||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_APPUI_BOUTON_VERROUILLAGE_CENTRALISE||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_AUTONOMIE_CARBURANT_CALCULE|km|79|8|460|620|2026-08-19 19:00:23.492227+00
MP_AUTORISATION_BALISAGE_ET_PRECONDITIONNEMENT_THERMIQUE||79|1|195|195|2026-08-19 19:00:23.492227+00
MP_AUTORISATION_DEMARRAGE_BVA_BVMP||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_AUTORISATION_ECLAIRAGE_COMMUTATEUR_DEMARRAGE_MOTEUR||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_AUTORISATION_ECLAIRAGE_LECTEUR_CLE_ELCTRONIQUE||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_AUTORISATION_ENCLENCHEMENT_CLIMATISATION||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_AUTORISATION_RECHARGE_SIRENE_ALARME_EFFRACTION||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_B96_BSI_DUREE_AVANT_PR_MAINT_000|month(s)|29|1|0|0|2026-08-16 20:16:16.410466+00
MP_BSI_ANTI_SCANNING||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_BSI_COMMANDE_EJECT_TRAPPE_CARB||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_BSI_CONTACT_VERROU_PORTE_AVD||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_BSI_CONTACT_VERROU_PORTE_AVG||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_BSI_DERN_COND_MAINT_ALIM_CPC||43|1|254|254|2026-08-16 20:49:12.612079+00
MP_BSI_ETAT_PUSH_TRAPPE_CARB||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_BSI_VIERGE_DE_CODE_ADC||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_CALCULATEUR_MOTEUR_VERROUILLE||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_CEINTURE_ARRIERE_CENTRALE_BOUCLEE||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_CEINTURE_AVANT_DROITE_BOUCLEE||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_CEINTURE_AVANT_GAUCHE_BLOUCLEE||79|2|0|1|2026-08-19 19:00:23.492227+00
MP_CEINTURE_SECURITE_DROITE_RANG_3_BOUCLEE||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_CEINTURE_SECURITE_GAUCHE_RANG_3_BOUCLEE||79|1|0|0|2026-08-19 19:00:23.492227+00
MP_CEINTURE_SEC_ARRIERE_DROITE_BOUCLEE||79|1|0|0|2026-08-19 19:00:23.492227+00
